polygon_id,class,pixel_count
180556,3,325
180556,5,10
180556,8,2
180556,9,174
180556,10,10
180556,11,27
180556,12,161
131681,3,3
131681,5,13
131681,7,220
131681,8,124
131681,9,259
131681,11,2
131681,12,61
131681,73,7
131681,93,7
131681,211,4
131681,212,5
34873,7,289
34873,8,96
34873,9,248
34873,11,8
34873,12,68
,9
166043,12,241
117767,3,3
117767,5,100
117767,7,108
117767,8,134
117767,9,329
117767,10,11
117767,11,2
117767,12,2
117767,83,5
117767,210,5
117767,211,3
117767,212,2
144113,3,296
144113,5,4
144113,8,5
144113,9,134
144113,11,79
144113,12,187
117589,5,90
117589,7,187
117589,8,78
117589,9,349
31271,3,4
31271,5,16
31271,7,125
31271,8,182
31271,9,237
31271,11,81
31271,12,27
31271,93,4
31271,211,16
31271,212,12
173009,3,301
173009,5,104
173009,7,20
173009,8,1
173009,9,32
173009,10,1
173009,11,55
173009,12,191
121009,3,248
121009,5,56
121009,8,64
121009,9,274
121009,12,57
121009,212,6
180526,3,169
180526,5,80
180526,8,14
180526,9,173
180526,10,134
180526,11,43
180526,12,95
34325,3,18
34325,7,158
34325,8,193
34325,9,306
34325,11,3
34325,12,26
34325,93,1
34325,212,2
120889,3,167
120889,5,68
120889,8,44
120889,9,332
120889,11,61
120889,12,35
164920,5,1
164920,7,263
164920,8,126
164920,9,291
164920,11,2
164920,12,22
35571,5,36
35571,7,130
35571,8,238
35571,9,304
35571,11,1
120906,3,9
120906,5,63
120906,7,283
120906,8,6
120906,9,272
120906,11,20
120906,12,43
120906,53,2
120906,211,3
120906,212,6
164921,7,232
164921,8,107
164921,9,357
164921,11,6
164921,211,3
164921,212,1
35955,5,3
35955,7,279
35955,8,102
35955,9,323
161795,3,94
161795,5,234
161795,8,9
161795,9,363
161795,12,3
36604,7,169
36604,8,228
36604,9,310
118782,7,163
118782,8,222
118782,9,325
33697,7,216
33697,8,174
33697,9,315
177369,3,24
177369,5,97
177369,7,164
177369,8,147
177369,9,160
177369,10,1
177369,11,35
177369,12,82
119208,3,50
119208,5,17
119208,7,152
119208,8,74
119208,9,231
119208,11,30
119208,12,124
119208,83,1
119208,93,4
119208,211,11
119208,212,10
36927,7,295
36927,8,93
36927,9,303
36927,12,14
36927,212,5
161336,3,73
161336,5,13
161336,7,220
161336,8,128
161336,9,210
161336,11,2
161336,12,23
161336,35,1
161336,37,31
127218,5,357
127218,8,110
127218,9,242
36747,7,299
36747,8,93
36747,9,309
36747,12,2
36747,212,6
128861,5,572
128861,8,12
128861,9,126
161368,3,4
161368,5,24
161368,7,72
161368,8,198
161368,9,327
161368,11,27
161368,12,20
161368,83,7
161368,93,15
161368,211,10
161368,212,3
31807,3,10
31807,5,12
31807,7,266
31807,8,71
31807,9,340
31807,11,6
161360,3,6
161360,5,83
161360,7,38
161360,8,136
161360,9,367
161360,10,5
161360,11,36
161360,12,17
161360,83,7
161360,93,7
161360,211,5
161360,212,3
127130,5,326
127130,8,75
127130,9,303
31346,5,65
31346,7,155
31346,8,128
31346,9,327
31346,10,8
31346,11,10
31346,210,4
31346,211,13
119113,7,156
119113,8,126
119113,9,415
119113,12,4
119113,93,4
119113,212,2
164923,3,2
164923,5,62
164923,7,92
164923,8,174
164923,9,348
164923,11,7
164923,12,18
164923,211,4
164923,212,1
31253,5,26
31253,7,150
31253,8,129
31253,9,354
31253,11,12
31253,12,20
31253,211,11
31253,212,8
161327,3,62
161327,7,229
161327,8,113
161327,9,216
161327,11,31
161327,12,23
161327,37,32
119032,5,53
119032,7,127
119032,8,104
119032,9,424
127073,5,364
127073,8,81
127073,9,260
161422,7,250
161422,8,96
161422,9,347
161422,10,4
161422,11,6
161422,73,1
161422,210,2
161422,211,2
35635,3,10
35635,7,149
35635,8,215
35635,9,296
35635,11,5
35635,12,4
35635,53,4
35635,211,17
35635,212,7
161345,5,7
161345,7,189
161345,8,152
161345,9,314
161345,11,5
161345,12,37
117426,3,15
117426,5,8
117426,7,281
117426,8,75
117426,9,301
117426,10,6
117426,11,3
117426,12,7
117426,211,5
117426,212,6
37577,8,321
37577,9,304
37577,11,29
37577,12,43
37577,93,1
37577,211,8
37577,212,1
114382,7,227
114382,8,132
114382,9,344
114382,12,1
114382,212,5
177401,3,42
177401,5,24
177401,7,66
177401,8,260
177401,9,256
177401,10,38
177401,12,19
19030,5,15
19030,8,34
19030,9,577
19030,11,9
19030,12,59
19030,93,2
19030,212,12
164665,5,22
164665,7,286
164665,8,110
164665,9,289
118049,7,234
118049,8,54
118049,9,360
118049,11,4
118049,12,32
118049,93,7
118049,210,3
118049,211,2
118049,212,9
19110,3,15
19110,5,11
19110,8,24
19110,9,655
116098,3,2
116098,7,293
116098,8,55
116098,9,257
116098,10,1
116098,11,16
116098,12,61
116098,73,1
116098,93,7
116098,210,6
116098,211,5
116098,212,5
19070,3,37
19070,5,2
19070,8,20
19070,9,500
19070,12,148
164691,3,12
164691,5,16
164691,7,228
164691,8,138
164691,9,297
164691,11,9
164691,73,1
164691,211,4
42046,3,113
42046,7,181
42046,8,79
42046,9,214
42046,12,112
42046,58,1
42046,87,4
164699,7,150
164699,8,228
164699,9,303
164699,10,5
164699,11,6
164699,210,4
164699,211,8
110277,7,230
110277,8,139
110277,9,338
110277,211,1
39374,3,2
39374,5,286
39374,8,195
39374,9,203
39374,11,1
39374,12,17
39374,83,2
39374,211,2
164938,5,1
164938,7,223
164938,8,111
164938,9,374
114477,3,36
114477,5,8
114477,7,155
114477,8,53
114477,9,366
114477,11,22
114477,12,32
114477,93,2
114477,210,1
114477,211,10
114477,212,22
161351,7,184
161351,8,115
161351,9,409
74388,3,102
74388,5,26
74388,7,170
74388,8,116
74388,9,268
74388,12,14
74388,53,4
74388,211,2
128345,7,222
128345,8,139
128345,9,350
37456,3,1
37456,5,118
37456,7,116
37456,8,30
37456,9,404
37456,11,16
37456,12,3
37456,53,5
37456,211,7
37456,212,6
177471,3,34
177471,5,97
177471,7,89
177471,8,52
177471,9,380
177471,12,59
118266,7,166
118266,8,85
118266,9,360
118266,10,32
118266,11,25
118266,12,21
118266,93,3
118266,211,8
118266,212,3
37413,3,1
37413,5,134
37413,7,82
37413,8,80
37413,9,369
37413,11,12
37413,12,11
37413,211,6
37413,212,14
178525,3,23
178525,5,37
178525,7,73
178525,8,72
178525,9,452
178525,10,1
178525,12,49
127502,3,10
127502,7,213
127502,8,133
127502,9,303
127502,11,5
127502,12,45
164961,5,10
164961,7,267
164961,8,30
164961,9,400
37446,3,117
37446,5,327
37446,8,147
37446,9,103
37446,11,8
37446,211,1
114106,7,269
114106,8,105
114106,9,330
163971,7,202
163971,8,91
163971,9,406
163971,12,8
37455,5,182
37455,7,142
37455,8,40
37455,9,342
111277,7,235
111277,8,87
111277,9,385
111277,93,2
161354,7,123
161354,8,161
161354,9,423
111392,7,242
111392,8,151
111392,9,316
33404,5,11
33404,7,144
33404,8,225
33404,9,327
161353,5,4
161353,7,151
161353,8,329
161353,9,224
33447,5,8
33447,7,150
33447,8,222
33447,9,328
126075,7,122
126075,8,207
126075,9,372
126075,211,1
42026,3,40
42026,5,4
42026,8,52
42026,9,531
42026,11,13
